Accession	Gene	Description	Control_1	Control_2	Control_3	Hypoxia_1	Hypoxia_2	Hypoxia_3	Log2FC	Pvalue
Q00610	CLH1	Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5 - [CLH1_HUMAN]	0.970531982886429	1.02680616060728	0.983749701558814	0.965580249580198	0.941785197481489	0.917660280168825	-0.0774682077556914	0.0764592825786691
Q9Y490	TLN1	Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN]	1.00482096119972	1.0036570816733	0.986225599759256	1.09148923475402	1.01191484538771	1.02488493851575	0.0622177466207798	0.201299359588101
P68363	TBA1B	Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1 - [TBA1B_HUMAN]	0.848302216047816	0.984317417058376	1.21286401222529	0.911260939629073	0.99271888195277	0.848918311790535	-0.133057551133126	0.479857762155664
Q01082	SPTB2	Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2 - [SPTB2_HUMAN]	0.980600896791032	1.01104927517944	1.00781501264941	1.00072401650007	0.969879085490427	0.958900829944821	-0.034149221808916	0.218804925470277
P05787	K2C8	Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7 - [K2C8_HUMAN]	1.0162985759974	1.01802442509317	0.962509704861094	0.711640157476926	0.727057037214138	0.686784058036187	-0.495560247180158	0.00016821365510462
P0DMV8	HS71A	Heat shock 70 kDa protein 1A OS=Homo sapiens GN=HSPA1A PE=1 SV=1 - [HS71A_HUMAN]	1.04042515729981	0.972881711276362	0.980863708663302	0.788211241000561	0.835791095094156	0.802205567874613	-0.303240561299352	0.00179226515566876
P11021	GRP78	78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2 - [GRP78_HUMAN]	1.00956244773097	0.990352610873302	0.9761456633606	1.01932293322725	1.00671704924003	0.982468338171166	0.0156131886068595	0.499031845568584
Q9BQE3	TBA1C	Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1 - [TBA1C_HUMAN]	0.975288413484213	1.01735649585204	0.945453200449061	0.999226600397002	0.924786878301638	0.866315076147362	-0.076254577450739	0.337602555961493
P68366	TBA4A	Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1 - [TBA4A_HUMAN]	0.984663647446313	1.01063848856056	0.991196530926882	1.41410834601014	1.38128302324825	1.42558188243364	0.499079850044123	1.29304220777754e-05
P38646	GRP75	Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2 - [GRP75_HUMAN]	1.0279592222914	0.992234122511217	0.973695734322437	0.958787127457085	0.931707886606394	0.890160290853502	-0.106903111390692	0.0558638478851291
P08670	VIME	Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4 - [VIME_HUMAN]	0.983951874497656	1.0162763957899	0.990742149146338	1.22754052076321	1.2033536867071	1.14115056083155	0.255595505961498	0.00653433038214679
P14625	ENPL	Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1 - [ENPL_HUMAN]	1.00140760881799	1.00618850513571	0.97838304597225	1.29990536490026	1.26605810704038	1.1999163574357	0.334094271819414	0.00516753560266183
P00558	PGK1	Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3 - [PGK1_HUMAN]	1.11798953392402	0.960682011717118	0.921731903849557	1.21766615016865	1.41986826356614	1.35644840786318	0.414751081502901	0.0201167977778025
P18206	VINC	Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4 - [VINC_HUMAN]	1.00286248548609	1.00704673140711	0.996336659141105	0.848033120367575	0.83273913555045	0.819889427631659	-0.265776442734106	0.00127599060349043
P07237	PDIA1	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3 - [PDIA1_HUMAN]	1.01602615591954	1.00667828341785	0.977612467256211	1.08448948086083	1.03515913531204	1.02082903827228	0.0655783584192295	0.116378670441349
P08729	K2C7	Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5 - [K2C7_HUMAN]	0.995975451100455	1.00653404350224	0.985159837733684	1.00503898619589	0.98759078662643	0.962520740544785	-0.0159604981452327	0.488517369290635
P55072	TERA	Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4 - [TERA_HUMAN]	1.03289390837935	0.992652649664801	0.968358910351794	0.999043169500069	0.962088776226219	0.968969087469771	-0.030761109672489	0.398743955019658
O43707	ACTN4	Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2 - [ACTN4_HUMAN]	0.993089854706045	1.00958351317028	0.995817540360479	0.935694456406267	0.882669541998809	0.872472969463418	-0.156824226518258	0.0318053060198432
P06733	ENOA	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2 - [ENOA_HUMAN]	1.08632242670956	0.976816146114595	0.94663433455739	1.1770570672085	1.29187352277875	1.21234917217848	0.291987967146593	0.0204790319871364
P25705	ATPA	ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1 - [ATPA_HUMAN]	1.02278328277683	1.00105268748701	0.97270149056664	0.999298077748408	0.989704896628992	0.968113366491628	-0.0189274060724032	0.497297096254417
P50990	TCPQ	T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4 - [TCPQ_HUMAN]	0.991612550614632	1.01339558949716	0.983483715099646	0.931463494021853	0.920469053259122	0.875766887103731	-0.132129298980482	0.0243815610973258
P05783	K1C18	Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2 - [K1C18_HUMAN]	1.01049179382527	1.0312058822965	0.961121999381366	0.762825755713508	0.759227796370903	0.721096186880566	-0.420629227839932	0.00050888867397711
P50991	TCPD	T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4 - [TCPD_HUMAN]	0.980932397230888	1.01600173399509	1.00072171122435	0.873871005664629	0.847309305483221	0.846374091839897	-0.22344969553069	0.00044938255221144
P22626	ROA2	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2 - [ROA2_HUMAN]	1.03771983078727	0.983119642524492	0.962543846145058	0.904620794212225	0.915541967127548	0.95337837321171	-0.104858755562539	0.0636057246403291
P13639	EF2	Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4 - [EF2_HUMAN]	1.02620532730196	1.00100743130563	0.981662941993208	1.01506827945756	0.966727326983553	0.961662742292098	-0.0319037098833521	0.365578205037971
P46940	IQGA1	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1 - [IQGA1_HUMAN]	1.1050886335324	0.945510960194501	0.956892053708218	1.17322535687383	0.992310413377705	0.992028510025617	0.0693469273651993	0.557107845334302
P07814	SYEP	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5 - [SYEP_HUMAN]	0.975350089274142	1.02004230839415	1.00044112867509	0.838400688146242	0.822766141077357	0.826225398062323	-0.268127956561517	0.00147714878016918
P12270	TPR	Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3 - [TPR_HUMAN]	0.983509690694322	1.00084145326019	1.02360284010817	0.940365401139098	0.929270321316097	0.921889884011404	-0.10758357825094	0.0109713127742516
P34932	HSP74	Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4 - [HSP74_HUMAN]	0.994138096313284	1.01184664349736	0.979865214389293	0.988455292592298	0.955397110016352	0.94054597856933	-0.0500578765810587	0.129060771815615
P29401	TKT	Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3 - [TKT_HUMAN]	1.03407335714454	0.998567155647291	0.979055431676771	0.848593232018749	0.802957258159755	0.795511108905621	-0.29974606132051	0.00157839174523424
P02786	TFR1	Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2 - [TFR1_HUMAN]	0.984114678654091	1.02844478947678	0.968651548429609	0.68776723255971	0.660352495697409	0.65409354082474	-0.574180991389949	8.50853022689432e-05
P22314	UBA1	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3 - [UBA1_HUMAN]	0.982062631176726	1.00749516287618	1.00231516946927	1.1191074959628	1.09043507365295	1.08138770745525	0.137380093090515	0.00239306318957774
P07437	TBB5	Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2 - [TBB5_HUMAN]	1.08445748225037	0.993205154423817	0.923199334222753	1.08659580338489	1.12015893121774	1.11879518887002	0.151204513961215	0.147859485679081
P27708	PYR1	CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3 - [PYR1_HUMAN]	0.964750306771106	1.00697443384322	1.03718592810817	1.11645874493707	1.12898438941836	1.15063018668204	0.175150203092035	0.0171006312520012
P04075	ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2 - [ALDOA_HUMAN]	1.09936169920593	0.960381883953335	0.942843169024353	1.43465143328496	1.57129803201025	1.52852983770192	0.597121960280168	0.00428788237907231
Q08211	DHX9	ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4 - [DHX9_HUMAN]	0.991776392225695	1.01250166479148	1.00983278528903	0.818665252783375	0.797993321402533	0.780948994854776	-0.330344371439314	0.00079868837082507
P09651	ROA1	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5 - [ROA1_HUMAN]	1.06956866122566	1.0007631427843	0.943885500936231	0.971259039219582	0.983136675561922	0.957211204887583	-0.0481707717901516	0.454378601371233
P07355	ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]	1.02707276319139	0.989374181310924	0.972864552307657	1.09066034400386	1.06979740634985	1.02820964281024	0.093078842872428	0.0527362578107657
P20700	LMNB1	Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2 - [LMNB1_HUMAN]	1.01414335920287	1.01467572167387	0.979314700248071	1.05470132560496	1.00611405023768	1.01104142135353	0.0301152275573538	0.337415881827481
Q12931	TRAP1	Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3 - [TRAP1_HUMAN]	0.967958039014706	1.02090164820842	0.999589258774139	1.14778260234406	1.17182894609126	1.12545842399611	0.205285521167534	0.00242871722502437
P63267	ACTH	Actin, gamma-enteric smooth muscle OS=Homo sapiens GN=ACTG2 PE=1 SV=1 - [ACTH_HUMAN]	1.19026387820461	0.939244557395776	0.873636754065237	1.18993047314396	1.52419618954864	1.3838222194402	0.453874947089165	0.0597489100143177
P49588	SYAC	Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2 - [SYAC_HUMAN]	0.995165691420736	1.01372906270301	0.983952428977864	0.688728594915152	0.650727192454879	0.63758844106791	-0.598837211885944	0.00109666002751938
P19338	NUCL	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3 - [NUCL_HUMAN]	1.00737806205401	0.99142387895319	0.997460877101824	1.06254683029155	1.02639261158761	0.990313365137957	0.03885161349885	0.315089332908484
O75643	U520	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2 - [U520_HUMAN]	0.964758543897622	1.01704755388434	1.00957402666863	0.982108605654033	1.00104576203344	0.959541148893081	-0.0234982234401462	0.475816057517592
Q9UQ80	PA2G4	Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3 - [PA2G4_HUMAN]	1.03487891476556	1.00022854459409	0.954263762451249	1.14071047948581	1.17310071634001	1.10284168279654	0.193077867357126	0.0123855164325555
P30101	PDIA3	Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4 - [PDIA3_HUMAN]	1.09445018198622	0.96438829427368	0.938128031922166	1.26365920955149	1.31597196314904	1.27496038111943	0.366146515310456	0.0269453572570781
P49321	NASP	Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2 - [NASP_HUMAN]	1.00867327887769	1.00075353432928	0.989638426747747	1.06896251442455	1.0035847751537	0.99592864315645	0.0323229854141424	0.424679673596152
P04406	G3P	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3 - [G3P_HUMAN]	1.04823605290801	1.00069097805189	0.930392863483623	0.974714103127784	1.13676048274004	1.04733747487433	0.083277873289571	0.366907670075677
P68371	TBB4B	Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1 - [TBB4B_HUMAN]	1.08705257040612	0.981788881723243	0.868714135769067	1.15373973454196	1.23587582569534	1.17950987322617	0.286393079470215	0.0809219863253572
Q7Z6Z7	HUWE1	E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3 - [HUWE1_HUMAN]	0.966585539398679	1.00984737940901	1.01168936493665	0.879124468679454	0.838739434629224	0.88671924390294	-0.198296581023162	0.00410477267445122
Q96AE4	FUBP1	Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3 - [FUBP1_HUMAN]	1.00646135280596	1.01488608181162	0.964138453116702	0.844762739015284	0.80630625304151	0.785212173967545	-0.293583148988201	0.00215752037110437
P15924	DESP	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3 - [DESP_HUMAN]	0.972265055034778	1.00834354728221	1.01572141216714	0.977649842142608	0.947282341373216	0.959089199624981	-0.0549735156432601	0.0891003312693121
Q9NY65	TBA8	Tubulin alpha-8 chain OS=Homo sapiens GN=TUBA8 PE=1 SV=1 - [TBA8_HUMAN]	0.940367859043449	0.963427951771548	1.13631335172347	0.978563121742435	1.01822233528926	0.943339008342729	-0.0437562942714598	0.67058926401666
P53396	ACLY	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3 - [ACLY_HUMAN]	1.00197318407806	1.01477868401066	0.977188753226058	1.03245727430125	1.02263622689577	0.992832196153661	0.0257595810996308	0.331874621637385
Q13263	TIF1B	Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5 - [TIF1B_HUMAN]	0.982669660462206	1.01164674949221	1.00727499843167	1.01506228471118	1.02643818541593	0.973284501725317	0.00606894912753656	0.83455916277083
P68104	EF1A1	Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1 - [EF1A1_HUMAN]	1.06009541590253	0.99931879289061	0.916483319183012	0.942113230521993	0.949273753352242	0.899290079181777	-0.0905548714608252	0.273761251650952
P04083	ANXA1	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2 - [ANXA1_HUMAN]	1.03504537025763	0.984905254739115	0.96081819336063	1.05223985680222	1.05369235228104	1.02661142579412	0.0722404309316159	0.13685636071471
Q99832	TCPH	T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2 - [TCPH_HUMAN]	1.00808963182879	1.01455895428809	0.986060155585968	0.911214940509828	0.914582461766195	0.900725825753675	-0.142005262406844	0.00194268784271156
Q06830	PRDX1	Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1 - [PRDX1_HUMAN]	1.03954886397265	0.993845831962815	0.957298686552596	0.975180450120406	0.989798612940369	0.945828256098924	-0.038498135439224	0.397745941805816
P13645	K1C10	Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]	0.976154287405074	0.999346999466416	1.00355706153835	0.474156866987961	0.676590055759392	0.525086138167834	-0.846315043550247	0.0302570642213355
P12814	ACTN1	Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2 - [ACTN1_HUMAN]	0.99900407368638	1.01098261483329	0.980202746275976	0.964105942073197	0.922934986370209	0.887458471505389	-0.108718903447917	0.0732631189150197
P06576	ATPB	ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3 - [ATPB_HUMAN]	1.02270865230733	1.00093170080843	0.971617093264341	1.03685479061477	1.02789723749729	0.964763552484776	0.0159862304188639	0.707144468867528
Q04637	IF4G1	Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=1 SV=4 - [IF4G1_HUMAN]	0.986421124657283	1.0037575351008	1.00299350199199	0.950033029864799	0.916463051714225	0.914659127500071	-0.106164796105542	0.0145321542550723
Q86VP6	CAND1	Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2 - [CAND1_HUMAN]	0.976179828717964	1.01661356776026	1.0214916584588	0.991061102700488	0.957901256310673	0.938606451023035	-0.0620268714719771	0.115821859197692
P60174	TPIS	Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3 - [TPIS_HUMAN]	1.08872614743392	0.999582148707192	0.907408752486603	1.1896894009736	1.15023835654154	1.17155958826896	0.233028507811262	0.0871278219427452
P05023	AT1A1	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1 - [AT1A1_HUMAN]	0.997854853400397	1.00375916138328	1.00015486140725	0.916306301158706	0.908005244252065	0.921108547081063	-0.128806991503477	0.000591209336256
P40926	MDHM	Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3 - [MDHM_HUMAN]	1.08984465431115	0.984353754687993	0.922059413949471	1.26940276594335	1.24899118386458	1.16353158878618	0.299706882799767	0.0313257897481181
P16615	AT2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1 - [AT2A2_HUMAN]	0.959403128783287	1.02638849319551	0.994621967298592	1.05519728161799	1.00945686530243	1.01708564311333	0.0485090107290946	0.238725440483013
Q12797	ASPH	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3 - [ASPH_HUMAN]	1.00860928298277	0.998566830416044	0.99898987045549	1.36086282338586	1.49216888665644	1.34702602983108	0.480956652254078	0.00886691774491573
Q7KZF4	SND1	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1 - [SND1_HUMAN]	0.999635485994883	1.01250949977664	0.981840279311501	1.05435167682099	1.01216873083752	1.0013807946696	0.0349423110719488	0.267928689466189
P61981	1433G	14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2 - [1433G_HUMAN]	1.02512264945375	0.994769785871592	0.98344291627045	1.01873013071702	0.991039381429451	0.965335426299693	-0.013751966391986	0.657641264235698
P67809	YBOX1	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3 - [YBOX1_HUMAN]	0.994195041154629	1.02109782009503	0.979746000913298	0.922005230903342	0.902430467934774	0.868345522557822	-0.153708643984458	0.0101662693878998
P23396	RS3	40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2 - [RS3_HUMAN]	1.07197642282279	0.971355653251864	0.96979054774018	1.00910164653753	0.824822138984137	0.893728977605097	-0.14698467583486	0.222951712798198
P49411	EFTU	Elongation factor Tu, mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2 - [EFTU_HUMAN]	1.04291659306707	0.9936642766911	0.959431630840752	1.17143231347111	1.38825858276074	1.3495692757969	0.380780949890602	0.0226752828115394
P04843	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1 - [RPN1_HUMAN]	0.970882623809659	1.0095119483313	1.00663176974839	1.12469239627462	1.12986484570786	1.12543373009422	0.178532992333229	0.00943062797893795
P61978	HNRPK	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1 - [HNRPK_HUMAN]	1.0629329116795	0.984009184340231	0.951411974012685	0.977059095068559	1.00857298259537	0.984637324109079	-0.0121462569005603	0.825373033199862
P23588	IF4B	Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2 - [IF4B_HUMAN]	1.01108528939911	0.991249416844334	0.995556851717428	0.853160818436859	0.793720528293753	0.806677200822957	-0.289714766433966	0.00797443525101352
Q13428	TCOF	Treacle protein OS=Homo sapiens GN=TCOF1 PE=1 SV=3 - [TCOF_HUMAN]	0.998948914329287	1.01130751112224	0.985250233594048	0.993749115212768	0.98977078805963	0.995372202508365	-0.00794623298357411	0.543905962469602
Q92598	HS105	Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1 - [HS105_HUMAN]	0.97855483924874	1.01076418632875	1.01196273269339	0.71546977370408	0.70690665675755	0.683289232791585	-0.511401522338636	5.19547229884889e-05
P15311	EZRI	Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4 - [EZRI_HUMAN]	0.988643359319534	0.999445855691485	1.01037574645135	0.934940870673741	0.899552790440035	0.872349997908651	-0.148136149133062	0.0272794799479589
P08727	K1C19	Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4 - [K1C19_HUMAN]	1.00899302895298	1.00725120352255	0.988603827425271	0.888305396442438	0.882833092636383	0.829840772649415	-0.208852469980235	0.0154882783880986
Q15084	PDIA6	Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1 - [PDIA6_HUMAN]	1.01267470864834	0.991378146400171	1.00899200857648	0.945292434592548	0.955022459855192	0.919060082570169	-0.0959742234540678	0.0131087537329485
P27348	1433T	14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1 - [1433T_HUMAN]	1.0022666173214	1.01535706845383	0.983511569440715	1.02786163785705	0.940293668617959	0.921260615167625	-0.0562522687999903	0.366453113349985
P62258	1433E	14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1 - [1433E_HUMAN]	0.976059294016837	1.00376327401071	1.05001333112234	1.01919118283984	0.981641475620619	0.914808322633288	-0.0562110663320284	0.372483690331108
P26038	MOES	Moesin OS=Homo sapiens GN=MSN PE=1 SV=3 - [MOES_HUMAN]	0.978746476625056	1.01371133240178	1.00280068767528	1.04362327218609	1.03478093366966	1.00174427227382	0.0402505898796424	0.163101467736566
P60842	IF4A1	Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1 - [IF4A1_HUMAN]	0.983998155915312	1.01311749835419	0.989495943690257	0.813733279308828	0.847860436148983	0.818432119551976	-0.268277812577732	0.00053572777105504
