				Healthy						Sick					
P11047	Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3	0.000	0.001	0.568	0.512	0.645	0.879	0.504	0.598	1.554	1.418	1.112	1.797	1.518	1.090
P22894	Neutrophil collagenase OS=Homo sapiens GN=MMP8 PE=1 SV=1	0.654	0.760	0.805	0.052	0.035	0.198	0.297	0.210	0.369	0.098	0.142	0.237	0.248	0.252
P22692	Insulin-like growth factor-binding protein 4 OS=Homo sapiens GN=IGFBP4 PE=1 SV=2	0.000	0.002	1.849	1.239	1.223	1.934	2.017	1.792	0.583	0.663	0.922	0.785	0.657	0.806
P54760	Ephrin type-B receptor 4 OS=Homo sapiens GN=EPHB4 PE=1 SV=2	0.239	0.366	0.501	0.344	0.499	0.045	1.238	0.803	0.197	1.326	5.021	0.491	0.692	1.115
Q14767	Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens GN=LTBP2 PE=1 SV=3	0.002	0.013	1.215	1.562	1.680	1.952	2.430	2.434	0.741	0.454	0.714	0.769	1.571	0.828
P04275	von Willebrand factor OS=Homo sapiens GN=VWF PE=1 SV=4	0.914	0.940	0.327	0.389	0.477	1.321	2.012	2.102	0.676	0.871	1.251	0.920	0.817	0.781
Q12841	Follistatin-related protein 1 OS=Homo sapiens GN=FSTL1 PE=1 SV=1	0.027	0.074	1.567	3.201	2.217	1.002	2.545	1.241	0.848	0.654	1.690	1.117	1.011	0.968
Q01638	Interleukin-1 receptor-like 1 OS=Homo sapiens GN=IL1RL1 PE=1 SV=4	0.042	0.102	1.317	1.252	1.146	1.896	1.375	1.148	0.966	1.252	1.374	0.971	0.859	0.878
P27930	Interleukin-1 receptor type 2 OS=Homo sapiens GN=IL1R2 PE=1 SV=1	0.367	0.500	1.253	1.087	0.893	0.868	1.134	1.091	0.680	0.928	1.298	1.155	0.840	0.869
P20827	Ephrin-A1 OS=Homo sapiens GN=EFNA1 PE=1 SV=2	0.087	0.173	0.851	0.601	0.502	0.624	0.412	0.558	0.754	0.735	1.761	0.527	0.769	0.861
P10153	Non-secretory ribonuclease OS=Homo sapiens GN=RNASE2 PE=1 SV=2	0.909	0.938	0.565	0.727	0.595	0.599	1.719	1.669	0.856	0.480	0.830	1.835	0.472	1.788
Q14118	Dystroglycan OS=Homo sapiens GN=DAG1 PE=1 SV=2	0.095	0.185	1.783	0.024	1.077	0.980	2.337	1.203	6.362	2.346	1.842	5.639	2.665	1.717
Q10471	Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens GN=GALNT2 PE=1 SV=1	0.288	0.420	0.254	0.180	0.255	0.822	1.249	1.337	0.804	0.885	1.326	0.631	0.679	0.584
P16581	E-selectin OS=Homo sapiens GN=SELE PE=1 SV=1	0.207	0.330	1.068	1.266	0.505	0.408	0.894	0.622	1.874	0.717	1.230	1.043	0.736	0.827
P28799	Granulins OS=Homo sapiens GN=GRN PE=1 SV=2	0.169	0.285	0.036	0.650	0.107	0.570	1.318	0.021	0.278	1.561	0.857	1.588	0.140	0.670
P07339	Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1	0.050	0.116	0.792	2.956	1.040	1.567	1.279	1.309	0.606	1.003	0.968	1.278	0.553	0.733
P54289	Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1 PE=1 SV=3	0.000	0.002	1.706	1.340	1.074	1.607	1.415	1.820	0.627	0.802	0.903	0.657	0.494	0.771
P18428	Lipopolysaccharide-binding protein OS=Homo sapiens GN=LBP PE=1 SV=3	0.945	0.959	0.228	1.078	2.018	0.655	0.971	0.935	0.310	0.468	1.490	2.156	1.891	0.407
Q16658	Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3	0.013	0.043	0.676	0.561	1.527	0.909	1.415	0.953	0.369	0.553	0.865	0.354	0.535	0.458
Q9Y279	V-set and immunoglobulin domain-containing protein 4 OS=Homo sapiens GN=VSIG4 PE=1 SV=1	0.000	0.003	0.062	0.147	0.135	0.137	0.135	0.121	0.427	0.520	0.320	1.167	0.383	0.779
Q8NBJ4	Golgi membrane protein 1 OS=Homo sapiens GN=GOLM1 PE=1 SV=1	0.004	0.018	1.238	1.221	0.725	1.084	1.498	1.700	0.663	0.810	0.669	0.629	0.702	0.599
P24821	Tenascin OS=Homo sapiens GN=TNC PE=1 SV=3	0.061	0.131	0.778	0.647	0.818	1.484	1.046	1.209	1.086	1.646	0.839	3.024	2.037	1.505
P80188	Neutrophil gelatinase-associated lipocalin OS=Homo sapiens GN=LCN2 PE=1 SV=2	0.002	0.012	0.383	0.184	0.270	0.288	0.300	0.305	2.379	1.211	1.690	0.821	0.737	0.463
P04080	Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2	0.576	0.689	0.592	0.713	0.748	0.728	0.726	0.612	1.230	1.195	0.366	1.974	0.430	0.601
P61769	Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1	0.009	0.032	1.348	1.373	1.193	1.294	1.542	1.779	0.555	0.733	0.890	1.322	0.550	1.011
Q969H8	Myeloid-derived growth factor OS=Homo sapiens GN=MYDGF PE=1 SV=1	0.129	0.233	1.263	0.990	1.181	1.082	1.239	1.373	1.105	0.897	1.351	1.044	0.547	0.880
P08833	Insulin-like growth factor-binding protein 1 OS=Homo sapiens GN=IGFBP1 PE=1 SV=1	0.000	0.003	0.627	0.590	0.451	0.841	0.656	0.577	1.026	1.203	1.199	1.398	1.143	1.051
P49257	Protein ERGIC-53 OS=Homo sapiens GN=LMAN1 PE=1 SV=2	0.047	0.111	0.530	0.056	0.050	0.103	0.093	0.146	5.104	0.246	0.592	0.327	0.442	0.118
P78324	Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Homo sapiens GN=SIRPA PE=1 SV=2	0.019	0.058	0.492	0.251	0.010	0.347	0.262	0.363	1.433	2.165	1.145	1.723	0.742	1.334
P20061	Transcobalamin-1 OS=Homo sapiens GN=TCN1 PE=1 SV=2	0.001	0.008	0.893	0.574	0.602	0.683	0.685	0.674	1.118	1.361	1.399	0.883	1.314	0.883
P07602	Prosaposin OS=Homo sapiens GN=PSAP PE=1 SV=2	0.065	0.139	0.599	0.391	0.896	0.405	0.740	0.617	0.371	0.512	0.656	0.368	0.286	0.245
P17900	Ganglioside GM2 activator OS=Homo sapiens GN=GM2A PE=1 SV=4	0.005	0.022	1.165	1.366	1.005	1.536	1.201	1.727	0.869	0.822	1.225	0.903	0.670	0.830
P12110	Collagen alpha-2(VI) chain OS=Homo sapiens GN=COL6A2 PE=1 SV=4	0.000	0.004	0.532	0.538	0.365	0.394	0.334	0.449	1.192	1.123	1.359	1.660	0.633	0.913
P05121	Plasminogen activator inhibitor 1 OS=Homo sapiens GN=SERPINE1 PE=1 SV=1	0.029	0.078	0.173	0.153	0.314	0.215	0.332	0.281	0.568	0.599	0.791	0.709	0.205	0.273
P19827	Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens GN=ITIH1 PE=1 SV=3	0.009	0.033	0.338	0.180	0.263	0.457	0.129	0.068	0.971	0.629	0.598	1.846	0.442	0.325
Q86TH1	ADAMTS-like protein 2 OS=Homo sapiens GN=ADAMTSL2 PE=1 SV=1	0.001	0.008	0.477	0.362	0.464	0.669	0.775	0.787	2.061	1.092	1.103	0.894	1.783	1.435
P22897	Macrophage mannose receptor 1 OS=Homo sapiens GN=MRC1 PE=1 SV=1	0.135	0.242	1.192	0.977	1.894	0.981	1.038	0.957	0.874	0.587	1.167	1.127	0.801	0.935
O00241	Signal-regulatory protein beta-1 OS=Homo sapiens GN=SIRPB1 PE=1 SV=5	0.090	0.177	1.374	1.255	1.123	1.511	1.791	1.094	0.850	0.887	1.489	1.219	0.435	1.034
Q16270	Insulin-like growth factor-binding protein 7 OS=Homo sapiens GN=IGFBP7 PE=1 SV=1	0.342	0.475	0.747	0.372	0.520	0.062	0.011	0.010	4.085	0.416	0.675	0.292	0.052	0.034
P05452	Tetranectin OS=Homo sapiens GN=CLEC3B PE=1 SV=3	0.000	0.002	0.391	0.342	0.395	0.614	0.491	0.595	1.147	1.059	1.140	1.095	1.000	0.783
P09486	SPARC OS=Homo sapiens GN=SPARC PE=1 SV=1	0.002	0.013	0.807	0.958	2.469	0.997	1.803	1.432	0.309	0.888	0.708	0.310	0.404	0.452
Q96HD1	Cysteine-rich with EGF-like domain protein 1 OS=Homo sapiens GN=CRELD1 PE=1 SV=3	0.271	0.399	0.396	0.418	0.839	0.390	0.936	0.580	0.446	0.867	0.863	1.397	0.861	0.414
Q06033	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens GN=ITIH3 PE=1 SV=2	0.773	0.851	0.684	0.711	0.658	0.661	0.716	0.578	0.437	0.824	1.086	0.827	0.897	0.410
P10721	Mast/stem cell growth factor receptor Kit OS=Homo sapiens GN=KIT PE=1 SV=1	0.032	0.084	0.925	1.024	0.949	0.306	0.307	0.539	0.677	0.973	0.948	1.505	2.271	1.935
Q02818	Nucleobindin-1 OS=Homo sapiens GN=NUCB1 PE=1 SV=4	0.722	0.807	0.886	1.010	0.822	0.658	1.272	0.943	0.758	0.972	0.875	0.857	0.922	0.920
P42785	Lysosomal Pro-X carboxypeptidase OS=Homo sapiens GN=PRCP PE=1 SV=1	0.231	0.357	0.419	0.355	0.845	0.868	1.337	0.789	1.001	0.713	1.286	1.113	0.837	0.781
P29966	Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4	0.153	0.265	0.480	0.214	0.579	0.123	0.206	0.154	1.073	0.368	0.475	0.388	0.295	0.237
Q08380	Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1	0.151	0.263	0.676	0.588	0.491	0.997	0.588	0.932	0.586	1.215	1.101	1.548	1.724	0.497
P02649	Apolipoprotein E OS=Homo sapiens GN=APOE PE=1 SV=1	0.000	0.004	0.378	0.438	0.264	0.722	0.491	0.497	1.148	1.380	1.438	1.182	1.064	0.999
Q12860	Contactin-1 OS=Homo sapiens GN=CNTN1 PE=1 SV=1	0.058	0.128	0.971	1.031	0.847	1.046	1.069	1.349	0.624	1.071	0.745	0.971	0.845	0.860
P48304	Lithostathine-1-beta OS=Homo sapiens GN=REG1B PE=1 SV=1	0.904	0.934	0.735	0.240	0.282	0.492	0.572	0.991	0.582	0.478	0.437	0.614	0.446	0.496
Q9NY33	Dipeptidyl peptidase 3 OS=Homo sapiens GN=DPP3 PE=1 SV=2	0.006	0.025	0.402	0.286	0.649	0.817	0.833	0.698	1.395	1.640	1.556	0.895	0.914	1.142
P0DJI9	Serum amyloid A-2 protein OS=Homo sapiens GN=SAA2 PE=1 SV=1	0.576	0.689	0.905	0.776	1.033	0.336	0.488	0.419	3.347	1.748	0.998	0.450	0.358	0.256
P19823	Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2 PE=1 SV=2	0.685	0.780	0.356	0.230	0.531	0.143	0.210	0.148	1.124	0.227	0.413	0.186	0.167	0.152
P24592	Insulin-like growth factor-binding protein 6 OS=Homo sapiens GN=IGFBP6 PE=1 SV=1	0.047	0.111	0.509	0.687	2.315	0.690	2.033	1.742	0.343	0.657	0.722	0.498	0.653	0.531
O95998	Interleukin-18-binding protein OS=Homo sapiens GN=IL18BP PE=1 SV=2	0.000	0.001	0.365	0.310	0.340	0.532	0.363	0.392	1.601	1.521	1.740	2.482	0.991	1.154
P61916	Epididymal secretory protein E1 OS=Homo sapiens GN=NPC2 PE=1 SV=1	0.001	0.007	2.317	2.401	1.267	2.033	1.605	1.578	0.651	1.308	0.581	0.478	0.857	0.429
P07307	Asialoglycoprotein receptor 2 OS=Homo sapiens GN=ASGR2 PE=1 SV=2	0.168	0.284	2.601	6.646	0.866	0.645	1.628	0.612	0.921	0.795	1.242	0.915	0.493	0.525
Q8WWV6	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor OS=Homo sapiens GN=FCAMR PE=1 SV=1	0.001	0.010	0.284	0.179	0.316	0.264	0.288	0.214	1.178	1.397	3.786	2.394	0.455	1.325
Q9UBR2	Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1	0.007	0.029	1.221	0.946	1.681	1.504	1.456	1.706	0.843	1.017	0.863	1.193	1.017	0.663
P01034	Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1	0.000	0.001	0.309	0.190	0.247	0.298	0.360	0.382	1.285	0.855	1.241	1.096	0.756	0.856
P20908	Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=3	0.000	0.003	1.552	1.626	1.777	2.274	1.627	1.580	0.429	0.481	0.828	0.812	0.373	0.672
P04196	Histidine-rich glycoprotein OS=Homo sapiens GN=HRG PE=1 SV=1	0.357	0.489	1.181	1.471	0.496	1.143	1.197	1.094	0.158	0.256	0.352	0.566	10.879	0.314
Q9HD89	Resistin OS=Homo sapiens GN=RETN PE=1 SV=1	0.000	0.004	1.969	1.277	1.945	2.969	1.681	2.136	0.427	0.594	1.307	0.688	0.493	0.530
P14314	Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2	0.214	0.339	0.986	1.026	0.694	0.664	0.808	0.662	1.510	1.162	1.334	0.817	0.788	0.620
P00747	Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2	0.372	0.504	0.298	0.262	0.395	0.953	1.194	1.226	0.610	0.720	1.366	0.541	0.794	1.063
Q9P2E9	Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=4	0.000	0.003	1.375	1.403	1.110	2.010	1.928	1.723	0.680	0.810	0.857	0.547	0.600	1.008
P15291	Beta-1,4-galactosyltransferase 1 OS=Homo sapiens GN=B4GALT1 PE=1 SV=5	0.000	0.004	0.295	0.537	0.395	0.653	0.594	0.504	1.181	1.443	1.475	0.964	0.806	1.003
Q9NPR2	Semaphorin-4B OS=Homo sapiens GN=SEMA4B PE=1 SV=3	0.001	0.010	0.067	0.099	0.270	0.059	0.302	0.311	1.566	1.357	0.205	1.835	2.084	2.257
P55209	Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1	0.348	0.477	0.754	0.645	0.661	0.856	1.705	0.781	3.684	0.296	2.248	0.651	1.882	1.398
P17936	Insulin-like growth factor-binding protein 3 OS=Homo sapiens GN=IGFBP3 PE=1 SV=2	0.021	0.063	0.090	0.284	0.091	0.469	0.339	0.454	0.743	1.101	1.231	0.332	0.507	0.520
Q93063	Exostosin-2 OS=Homo sapiens GN=EXT2 PE=1 SV=1	0.045	0.108	0.566	0.765	0.714	0.666	0.671	0.944	0.730	1.160	1.422	1.323	0.683	0.935
P09960	Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2	0.541	0.659	0.749	0.963	0.669	0.959	0.887	1.202	0.754	0.810	0.944	1.258	0.449	0.816
P23528	Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3	0.093	0.182	0.491	0.200	0.134	0.207	0.326	0.272	1.628	0.407	0.656	0.404	0.231	0.283
P07942	Laminin subunit beta-1 OS=Homo sapiens GN=LAMB1 PE=1 SV=2	0.726	0.809	0.305	0.565	1.776	0.710	1.138	0.629	0.858	0.847	1.175	0.614	0.857	0.622
Q9BXJ1	Complement C1q tumor necrosis factor-related protein 1 OS=Homo sapiens GN=C1QTNF1 PE=1 SV=1	0.081	0.164	1.553	1.648	1.509	1.734	1.633	2.948	0.586	1.183	1.889	1.121	1.421	1.535
Q14847	LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2	0.264	0.392	0.011	0.459	0.626	0.208	0.820	0.797	0.395	1.019	1.267	0.819	1.005	0.216
P29622	Kallistatin OS=Homo sapiens GN=SERPINA4 PE=1 SV=3	0.069	0.146	0.726	0.517	1.321	0.664	1.282	0.975	0.367	0.724	1.101	0.486	0.452	0.360
Q03167	Transforming growth factor beta receptor type 3 OS=Homo sapiens GN=TGFBR3 PE=1 SV=3	0.517	0.637	0.552	2.140	0.927	1.014	0.590	3.261	0.436	0.264	1.442	1.187	1.221	1.638
P52209	6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3	0.444	0.573	0.873	0.657	0.481	0.801	0.839	0.704	0.711	0.544	0.576	1.064	0.268	0.745
Q14314	Fibroleukin OS=Homo sapiens GN=FGL2 PE=1 SV=1	0.022	0.063	1.381	1.063	1.275	1.121	1.055	2.499	0.668	0.695	1.115	0.591	1.289	0.658
P04070	Vitamin K-dependent protein C OS=Homo sapiens GN=PROC PE=1 SV=1	0.550	0.665	1.075	1.242	0.699	1.066	0.936	0.937	0.825	1.069	0.983	0.989	0.914	0.787
P43251	Biotinidase OS=Homo sapiens GN=BTD PE=1 SV=2	0.195	0.314	1.082	1.263	0.958	1.255	1.166	1.835	0.406	1.429	1.183	0.859	0.945	1.126
P17813	Endoglin OS=Homo sapiens GN=ENG PE=1 SV=2	0.017	0.054	0.547	0.617	1.448	1.657	1.235	0.962	0.498	0.778	0.640	0.376	0.391	0.538
P13987	CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1	0.002	0.014	0.165	0.188	0.127	0.182	0.299	0.252	0.572	1.412	0.392	3.223	0.727	0.829
P11597	Cholesteryl ester transfer protein OS=Homo sapiens GN=CETP PE=1 SV=2	0.071	0.148	0.247	0.111	0.113	0.045	0.079	0.044	1.639	0.551	2.442	0.084	0.197	0.070
Q9NQW7	Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3	0.083	0.168	0.403	0.025	0.048	0.012	0.010	0.035	2.052	0.497	0.179	0.051	0.044	0.068
P18669	Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2	0.002	0.012	0.729	0.386	0.451	0.756	0.814	0.555	0.911	1.508	1.532	1.148	1.091	0.935
P19320	Vascular cell adhesion protein 1 OS=Homo sapiens GN=VCAM1 PE=1 SV=1	0.038	0.095	0.809	0.272	0.631	0.256	0.376	0.376	0.266	0.202	0.358	0.250	0.215	0.204
P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5	0.020	0.060	0.188	0.212	0.255	0.154	0.255	0.214	1.101	0.987	0.966	0.314	0.261	0.283
P15090	Fatty acid-binding protein, adipocyte OS=Homo sapiens GN=FABP4 PE=1 SV=3	0.001	0.009	0.308	0.137	0.153	0.114	0.209	0.132	1.042	1.077	0.664	0.608	0.288	0.347
P58166	Inhibin beta E chain OS=Homo sapiens GN=INHBE PE=1 SV=1	0.040	0.099	0.701	0.745	0.820	1.115	0.716	0.747	1.317	1.466	1.761	2.000	0.599	1.119
P62937	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2	0.823	0.883	0.734	0.115	0.129	0.012	0.017	0.029	0.221	0.105	0.190	0.022	0.069	0.027
P09211	Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2	0.304	0.433	1.414	0.694	1.557	0.705	0.889	1.249	1.064	1.276	1.217	2.541	0.729	1.703
P04156	Major prion protein OS=Homo sapiens GN=PRNP PE=1 SV=1	0.002	0.011	0.136	0.083	0.196	0.283	0.352	0.266	2.389	1.136	1.028	0.613	0.545	0.417
Q14019	Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3	0.197	0.317	1.338	2.267	0.697	0.655	0.875	0.526	0.704	0.674	0.898	0.819	0.359	0.580
P52799	Ephrin-B2 OS=Homo sapiens GN=EFNB2 PE=1 SV=1	0.003	0.017	1.479	1.706	2.410	1.970	1.825	1.428	0.674	0.460	1.338	0.841	1.133	0.894
Q8NBS9	Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5 PE=1 SV=2	0.381	0.510	1.374	0.713	1.419	1.063	1.376	1.096	0.933	0.949	2.198	0.832	0.546	0.749
P08709	Coagulation factor VII OS=Homo sapiens GN=F7 PE=1 SV=1	0.024	0.067	0.027	0.125	0.081	0.031	0.069	0.042	1.583	0.498	2.529	0.080	0.227	0.071
P02765	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	0.682	0.778	0.455	0.624	0.358	0.735	1.221	1.149	4.251	0.298	0.796	0.832	0.583	0.617
Q14697	Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3	0.379	0.509	0.527	0.578	0.349	2.629	0.026	0.447	4.542	0.477	1.433	0.218	0.788	0.400
P49908	Selenoprotein P OS=Homo sapiens GN=SEPP1 PE=1 SV=3	0.694	0.785	0.750	0.814	1.032	0.826	0.805	1.210	0.807	1.131	0.914	1.181	0.455	0.764
P05164	Myeloperoxidase OS=Homo sapiens GN=MPO PE=1 SV=1	0.021	0.062	0.029	0.107	0.143	0.223	0.384	1.718	0.560	1.368	0.692	1.302	5.556	1.110
P34932	Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4	0.004	0.018	0.373	0.297	0.222	0.175	0.285	0.218	0.827	0.584	1.720	0.895	0.699	0.312
Q12907	Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1	0.378	0.509	0.616	2.150	0.269	0.127	0.452	0.442	0.313	0.200	0.227	1.192	0.127	0.273
P00451	Coagulation factor VIII OS=Homo sapiens GN=F8 PE=1 SV=1	0.546	0.662	0.796	0.091	0.208	0.506	0.852	0.757	0.173	0.122	0.187	0.865	0.296	0.752
Q8WWA0	Intelectin-1 OS=Homo sapiens GN=ITLN1 PE=1 SV=1	0.379	0.509	0.191	0.296	0.157	1.088	1.259	1.346	0.579	0.924	0.616	1.669	0.515	0.708
Q86VB7	Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens GN=CD163 PE=1 SV=2	0.783	0.860	1.580	1.826	1.577	3.495	0.291	0.243	1.192	1.263	0.906	1.020	0.466	0.774
P25786	Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1	0.669	0.771	1.773	3.328	0.977	2.208	2.075	1.238	0.952	0.760	1.601	1.507	0.726	8.516
P05451	Lithostathine-1-alpha OS=Homo sapiens GN=REG1A PE=1 SV=3	0.009	0.033	0.241	0.247	0.314	0.303	0.318	0.248	0.480	0.771	2.986	1.066	0.521	0.619
Q9UHG3	Prenylcysteine oxidase 1 OS=Homo sapiens GN=PCYOX1 PE=1 SV=3	0.003	0.017	0.204	0.205	0.166	0.245	0.404	0.299	0.452	0.657	0.522	2.130	0.756	0.561
A6NHG4	D-dopachrome decarboxylase-like protein OS=Homo sapiens GN=DDTL PE=2 SV=1	0.005	0.023	0.856	0.391	0.602	0.761	0.967	0.809	1.767	1.851	2.216	1.107	1.289	0.842
Q16394	Exostosin-1 OS=Homo sapiens GN=EXT1 PE=1 SV=2	0.000	0.002	0.050	0.047	0.066	0.123	0.211	0.113	1.293	0.757	0.474	0.993	0.771	0.276
O00391	Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3	0.014	0.048	0.429	0.281	0.456	0.157	0.194	0.158	2.604	2.125	1.116	0.488	0.707	0.266
Q6UVK1	Chondroitin sulfate proteoglycan 4 OS=Homo sapiens GN=CSPG4 PE=1 SV=2	0.133	0.238	0.254	0.198	0.192	0.272	1.335	0.334	1.109	0.561	2.311	0.577	0.308	0.320
Q6GTS8	N-fatty-acyl-amino acid synthase/hydrolase PM20D1 OS=Homo sapiens GN=PM20D1 PE=2 SV=3	0.155	0.267	0.783	0.827	3.242	1.352	2.190	1.422	0.490	1.073	1.957	0.805	0.752	0.950
P60900	Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1	0.492	0.619	1.137	1.089	1.136	1.362	0.905	0.720	1.626	1.564	1.414	1.811	0.343	1.915
P03973	Antileukoproteinase OS=Homo sapiens GN=SLPI PE=1 SV=2	0.203	0.327	0.808	0.789	0.563	1.630	0.650	1.027	0.991	1.469	1.879	0.741	0.905	1.153
P80108	Phosphatidylinositol-glycan-specific phospholipase D OS=Homo sapiens GN=GPLD1 PE=1 SV=3	0.791	0.863	0.698	0.960	0.589	0.842	0.697	0.700	1.336	0.774	0.337	1.481	0.356	0.563
P29401	Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3	0.320	0.450	0.436	0.227	0.312	0.222	0.227	0.247	0.492	0.398	0.639	0.350	0.198	0.189
O14818	Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1	0.608	0.717	0.605	0.253	0.407	0.708	1.750	1.645	0.953	0.344	0.613	1.562	0.736	2.006
P51149	Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1	0.030	0.081	0.336	0.265	0.318	0.206	0.263	0.197	3.217	1.920	1.404	0.506	0.337	0.289
P22314	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3	0.578	0.690	1.342	1.226	1.327	1.077	0.819	0.392	0.822	1.278	1.191	1.120	0.265	0.702
P30740	Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1	0.795	0.864	0.830	0.397	0.409	0.244	0.468	0.245	0.598	0.446	0.483	0.298	0.474	0.295
Q96PD5	N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens GN=PGLYRP2 PE=1 SV=1	0.328	0.460	0.981	0.978	0.810	1.003	0.675	0.695	1.074	0.640	1.120	1.772	0.981	0.755
P02461	Collagen alpha-1(III) chain OS=Homo sapiens GN=COL3A1 PE=1 SV=4	0.361	0.494	0.018	0.457	0.659	0.943	0.474	0.601	0.050	1.184	1.564	1.373	1.001	1.150
